Headline,Ground_Truth,Zero-shot_Prediction
cow excited to freak the fuck out during solar eclipse,Sarcastic,Sarcastic
sarah huckabee sanders defends trump's sexist attack on kirsten gillibrand,Non-Sarcastic,Non-Sarcastic
nick verreos sees a marriage between fashion geeks and computer geeks,Non-Sarcastic,Non-Sarcastic
how to boost your child's self-esteem,Non-Sarcastic,Non-Sarcastic
"bill clinton, tim kaine cancel iowa event after police shooting",Non-Sarcastic,Non-Sarcastic
what i understood about a father-daughter relationship only after my father passed away,Non-Sarcastic,Non-Sarcastic
"train collision in belgium kills 3, injures 40",Non-Sarcastic,Non-Sarcastic
mississippi town rejects 'historic' lgbtq pride parade despite local support,Non-Sarcastic,Non-Sarcastic
surf-rock legend dick dale plays through the pain at 78,Non-Sarcastic,Non-Sarcastic
"'loud, desperate need for approval' leads tony nominations",Sarcastic,Sarcastic
free school lunches kept me from starving,Non-Sarcastic,Non-Sarcastic
"as iranians vote for peace, trump helps saudi arabia pick another fight",Non-Sarcastic,Non-Sarcastic
voter nostalgically looks back at time he was uninformed about candidates,Sarcastic,Sarcastic
north korean prisoners temporarily put into american detention camp to help ease shock of return,Sarcastic,Sarcastic
paul giamatti lauded for supporting role in area murder,Sarcastic,Sarcastic
british royal family concerned after queen elizabeth ii beheads 7 tourists,Sarcastic,Sarcastic
department of defense unveils $83 million thing that shoots,Sarcastic,Sarcastic
author accepts award on ghostwriters' behalf,Sarcastic,Sarcastic
heavily processed food makes pathetic nutritional claims,Sarcastic,Sarcastic
local welder suffering from welder's block,Sarcastic,Sarcastic
meat industry introduces new easy-tear perforated beef,Sarcastic,Sarcastic
glass ceiling. glass closet. glass cubicle. this is living?,Non-Sarcastic,Sarcastic
business innovation: what market leaders can learn from video games,Non-Sarcastic,Non-Sarcastic
alaska senate candidate joe miller says abortion is bankrupting social security,Non-Sarcastic,Sarcastic
lindsey graham vows to uphold john mccain's legacy by blindly supporting gop agenda after grumbling for a few minutes,Sarcastic,Sarcastic
rising income inequality causing wealthy americans to take on second sailboat,Sarcastic,Sarcastic
"12-year-old says she's desperate to stop the hitting, screaming, fighting with mom",Non-Sarcastic,Non-Sarcastic
clooney scouting locations for darfur-based romantic comedy,Sarcastic,Sarcastic
scooby-doo movie says being a size 8 is a curse,Non-Sarcastic,Sarcastic
who's a better liar: brian williams or pinocchio?,Non-Sarcastic,Sarcastic
cinephiles will love 'listen up philip',Non-Sarcastic,Non-Sarcastic
mike pence to anti-abortion crowd: trump's supreme court pick will be in the mold of antonin scalia,Non-Sarcastic,Non-Sarcastic
sam smith opens up about the downside of fame and his true mission,Non-Sarcastic,Non-Sarcastic
"pope celebrates mass in havana, warns against dangers of ideology",Non-Sarcastic,Non-Sarcastic
paul lynde impersonation lost on daughter's friends,Sarcastic,Sarcastic
man reluctantly deletes video of friend trying to vault mailbox to clear data space for child's birth,Sarcastic,Sarcastic
glowing ahmadinejad: 'i am the nuclear weapon we've been building',Sarcastic,Sarcastic
report: it pretty incredible that americans entrusted with driving cars,Sarcastic,Sarcastic
"years after japan's earthquake disaster, a community struggles to pick up the pieces",Non-Sarcastic,Non-Sarcastic
that flaming lips origin story is faker than you thought,Non-Sarcastic,Non-Sarcastic
desperate wheel of fortune receives approval to use swear words,Sarcastic,Sarcastic
ariana grande performs 'break free' on 'snl',Non-Sarcastic,Non-Sarcastic
"planned parenthood offers virtual visits, will deliver birth control to your door",Non-Sarcastic,Non-Sarcastic
nobody in ukraine notices absence of government,Sarcastic,Sarcastic
"from layoffs to sexual assault allegations, it's been a hard week in media",Non-Sarcastic,Non-Sarcastic
look: 'thor's helmet' glows in brilliant neon hues,Non-Sarcastic,Non-Sarcastic
headphones-wearing pedestrian loudly proclaims iron man status,Sarcastic,Sarcastic
monument designer to see if some other country wants to buy rejected war memorial,Sarcastic,Sarcastic
garden too much for grandma this summer,Sarcastic,Sarcastic
photos of janet jackson's style evolution through the years,Non-Sarcastic,Non-Sarcastic
cinzano poster brings touch of class to shithole,Sarcastic,Sarcastic
'a day with hiv' campaign tells the powerful stories of those affected by hiv,Non-Sarcastic,Non-Sarcastic
oscar meyer introduces new wiener mobility scooter,Sarcastic,Sarcastic
'religious freedom' clauses are point of contention as australia crafts marriage equality laws,Non-Sarcastic,Non-Sarcastic
hbo's martin luther king jr. film reveals his 'dark and dangerous' final years,Non-Sarcastic,Non-Sarcastic
ted cruz: the media salivates when criminals are republican,Non-Sarcastic,Non-Sarcastic
incredible new slate of documentaries to elevate everyday lgbt heroes,Non-Sarcastic,Non-Sarcastic
it's time to focus on shared goals,Non-Sarcastic,Non-Sarcastic
supreme ruler of laundry room moves load of clothes from washer to top of washer,Sarcastic,Sarcastic
our nation's guard rails: are they safe enough?,Sarcastic,Non-Sarcastic
"why soccer matters, and why your opinion about it doesn't",Non-Sarcastic,Sarcastic
folk art museum acquires rare visitor,Sarcastic,Sarcastic
producer wants to call movie crime and punishment anyway,Sarcastic,Sarcastic
panicked agriculture secretary momentarily forgets what corn is,Sarcastic,Sarcastic
kate middleton suffering from morning sickness,Sarcastic,Non-Sarcastic
hypothetical multi-ethnic customer base smiles down from hmo billboard,Sarcastic,Sarcastic
hillary clinton assured drop in polls just indication people haven't abandoned ideals yet,Sarcastic,Sarcastic
scientists say u.s. may have discovered previously unknown level of not caring about syria,Sarcastic,Sarcastic
"man who just bought mayan headdress, 4 crates of corn pretty sure you'll be looking like the fool when apocalypse happens",Sarcastic,Sarcastic
dog returned to shelter for being 'too nice' finds new home,Non-Sarcastic,Non-Sarcastic
this election year's darwin award goes to the folks behind this political mailer,Non-Sarcastic,Sarcastic
riz ahmed's emmy is a win for south asian representation on tv,Non-Sarcastic,Non-Sarcastic
'meow-nisota' all ears for internet cat video festival,Non-Sarcastic,Non-Sarcastic
mindfulness in your 20s: understanding the brain on stress,Non-Sarcastic,Non-Sarcastic
man grateful to live in society where mattress disappears if left on sidewalk for a couple days,Sarcastic,Sarcastic
south korean president shakes hands with north korean leaders during winter olympics opening ceremony,Non-Sarcastic,Non-Sarcastic
rupert murdoch says ben carson would be a 'real black president',Non-Sarcastic,Sarcastic
transition team assures public trump has too many conflicts of interest to favor any specific one,Sarcastic,Sarcastic
what's really lurking in those pedicure tubs?,Non-Sarcastic,Non-Sarcastic
blowing smoke at global warming,Non-Sarcastic,Sarcastic
halloween decorations blending in nicely with christmas lights,Sarcastic,Sarcastic
"and now, the first picture from the 'gilmore girls' revival",Non-Sarcastic,Non-Sarcastic
this grrrl power video game is everything that's right about the '90s,Non-Sarcastic,Non-Sarcastic
area man good for the economy,Sarcastic,Sarcastic
john kerry scrambles to stop bunker's self-destruct sequence as russian oligarch taunts him from bank of monitors,Sarcastic,Sarcastic
texas environmentalists lobby for solar-powered electric chair,Sarcastic,Sarcastic
tom cruise shares frightening slow motion video of ankle-breaking stunt,Non-Sarcastic,Non-Sarcastic
"defense needs to be more physical, reports man slumped on couch for past 5 hours",Sarcastic,Sarcastic
doing my daughter's hair makes me feel like a better dad,Non-Sarcastic,Non-Sarcastic
report: average american consumes 156 pounds of sugar per year but would like to consume much more,Sarcastic,Sarcastic
new mit study suggests sonic the hedgehog might be living in computer simulation,Sarcastic,Sarcastic
procter & gamble introduces home menstruation test,Sarcastic,Sarcastic
addressing spiritual bullying: a faith fable,Non-Sarcastic,Non-Sarcastic
"kfc, midas team up for much-anticipated crossover meal",Sarcastic,Sarcastic
fans beg aerosmith to go back on drugs,Sarcastic,Sarcastic
man just going to assume this counts as 'minced',Sarcastic,Sarcastic
"senate votes near unanimously for russia, iran sanctions",Non-Sarcastic,Non-Sarcastic
70 percent of americans in favor of watching iraq get bombed on tv,Sarcastic,Sarcastic
wells fargo faces proposed class action lawsuit over bogus account scandal,Non-Sarcastic,Non-Sarcastic
man puts glass of water on bedside table in case he needs to make huge mess in middle of night,Sarcastic,Sarcastic
federal judge pencils blocking trump's unconstitutional executive orders into monthly schedule,Sarcastic,Sarcastic
"at least 18 killed in large explosion in syria, war monitor says",Non-Sarcastic,Non-Sarcastic
like boxes of shit in your house? get a cat,Sarcastic,Sarcastic
jennifer lawrence stuns in oscar de la hoya gown,Sarcastic,Sarcastic
'humor in uniform' submissions at all-time low,Sarcastic,Sarcastic
"new congressional intern disillusioned with politics and democracy in record 6 minutes, 41 seconds",Sarcastic,Sarcastic
donald trump says he'll stick with personal twitter account as president,Non-Sarcastic,Non-Sarcastic
great lover also great at slinking out,Sarcastic,Sarcastic
antidepressant medication label reminds users that pill should never be mixed with long look in mirror,Sarcastic,Sarcastic
amber rose takes down trolls who called her 5-year-old son 'gay',Non-Sarcastic,Non-Sarcastic
plane delay leaves hundreds whiny,Sarcastic,Sarcastic
satellite images indicate north korea is working on a ballistic missile submarine,Non-Sarcastic,Non-Sarcastic
watch: why juliette lewis' parents helped her get emancipated,Non-Sarcastic,Non-Sarcastic
right guy to fuck with identified,Sarcastic,Sarcastic
"trump lawyers anxious 4,731st shoe will drop",Sarcastic,Sarcastic
weird wooden chair pressed into service for thanksgiving,Sarcastic,Sarcastic
employee slowly realizes boss attempting to have normal conversation with her,Sarcastic,Sarcastic
5 mistakes to avoid during your wedding night,Non-Sarcastic,Non-Sarcastic
book-club meeting degenerates into discussion of oscars,Sarcastic,Sarcastic
epa releases annual list of cities where tap water probably fine to drink but tastes kinda off,Sarcastic,Sarcastic
stormy daniels '60 minutes' interview leads to spike in pornhub searches for anderson cooper,Sarcastic,Non-Sarcastic
china's sexiest panda obliterates own record in latest sex romp,Non-Sarcastic,Sarcastic
"boeing unveils 40,000-foot emergency slide",Sarcastic,Sarcastic
8-year-old palestinian boy pleasantly surprised he hasn't been killed yet,Sarcastic,Sarcastic
hurricane nicole wreaks havoc on bermuda,Non-Sarcastic,Non-Sarcastic
goldfish dying to be petted just once,Sarcastic,Sarcastic
"drake's dad just released a music video and damn, it's smooth",Non-Sarcastic,Non-Sarcastic
trump refugee order dashes hopes of iraqis who helped the u.s.,Non-Sarcastic,Non-Sarcastic
15 things to bring on your summer adventures,Non-Sarcastic,Non-Sarcastic
disturbing new ad reveals the future of the gop under trump,Non-Sarcastic,Non-Sarcastic
ted cruz skyrockets in polls after head permanently sealed within iron mask,Sarcastic,Sarcastic
connecticut man visited by being from another time zone,Sarcastic,Sarcastic
viewing ads on website sole way in which man contributing to economy,Sarcastic,Sarcastic
flag in front of post office can hardly remember a time it wasn't flying half-staff,Sarcastic,Sarcastic
"astronaut eileen collins was supposed to endorse trump in her rnc speech, but didn't",Non-Sarcastic,Non-Sarcastic
local teen quits club that would've been tiebreaker in admission to dream school,Sarcastic,Sarcastic
the vatican's spectacular christmas stamps,Non-Sarcastic,Non-Sarcastic
anti-abortion activists sing a dangerous song,Non-Sarcastic,Non-Sarcastic
good news kept from parents out of fear of proving them right,Sarcastic,Sarcastic
running back's buttocks undulate hypnotically in sexuality-challenging slow-motion replay,Sarcastic,Sarcastic
3 simple steps to restart your life,Non-Sarcastic,Non-Sarcastic
bob dole to build 'trench to 19th century',Sarcastic,Sarcastic
black voters helped elect the man who prosecuted birmingham church bombers,Non-Sarcastic,Non-Sarcastic
"sun myung moon funeral to be all weird, sources report",Sarcastic,Sarcastic
a woman announced her pregnancy with a unicorn frappuccino,Non-Sarcastic,Non-Sarcastic
"apple releases brief, fleeting moment of excitement",Sarcastic,Sarcastic
learning resilience from a master,Non-Sarcastic,Non-Sarcastic
nuclear-bomb instructions found in pentagon,Sarcastic,Sarcastic
nobody touching punch at cia christmas party,Sarcastic,Sarcastic
kitten thinks of nothing but murder all day,Sarcastic,Sarcastic
roy moore disgusted by thought of groping breasts of sexually mature woman,Sarcastic,Sarcastic
if these walls could talk,Non-Sarcastic,Non-Sarcastic
